Internal Pressure Operation,,,,,,
KP (m),Pressure (Pa),,Pressure(Mpa),,,
0,4675199.3,,4.6751993,,,
49.77392578,4679135.5,,4.6791355,,,
105.3183594,4684556.95,,4.68455695,,,
166.7973633,4689360.05,,4.68936005,,,
234.5483398,4693545.9,,4.6935459,,,
308.3671875,4697193.9,,4.6971939,,,
388.3652344,4700503.55,,4.70050355,,,
473.9560547,4706873.3,,4.7068733,,,
565.0131836,4716474.55,,4.71647455,,,
660.6811523,4719966.15,,4.71996615,,,
760.6640625,4717305,,4.717305,,,
864.0229492,4715857.3,,4.7158573,,,
970.3969727,4715589.15,,4.71558915,,,
1078.92627,4717343.5,,4.7173435,,,
1178.223145,4721284.85,,4.72128485,,,
1277.519043,4725226.95,,4.72522695,,,
1376.814941,4728554.55,,4.72855455,,,
1476.111084,4731301.9,,4.7313019,,,
1575.407227,4734740.85,,4.73474085,,,
1674.704102,4739022.05,,4.73902205,,,
1774,4741366.6,,4.7413666,,,
1873.296143,4741741.2,,4.7417412,,,
1972.592041,4744483.2,,4.7444832,,,
2082.037109,4749594.5,,4.7495945,,,
2189.938232,4756359.1,,4.7563591,,,
2296.089111,4764774.3,,4.7647743,,,
